source,reputation,articles,size
"b'India News, Breaking News, Entertainment News | India.com'",0.0,"[250, 251]",3
b'Oneindia',0.0,[252],2
b'India Today',0.0,[253],2
b'The Hindu',0.0,"[254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266]",14
b'Scroll.in',0.0,[267],2
b'Republic World',0.0,[268],2
b'english',0.0,"[269, 270]",3
b'Jagran English',0.0,"[271, 272, 273, 274]",5
b'The New Indian Express',0.0,"[275, 276, 277, 278, 279, 280]",7
b'Daily News and Analysis (DNA) India',0.0,[281],2
b'@businessline',0.0,"[282, 283, 284]",4
b'The Hans India',0.0,"[285, 286, 287, 288, 401, 402]",7
b'Deccan Herald',0.0,"[289, 290]",3
b'Deccan Chronicle',0.0,[291],2
b'The Siasat Daily',0.0,"[292, 293, 294, 295, 296, 297, 298, 299]",9
b'LatestLY',0.0,"[403, 404, 405]",4
b'Social News XYZ',0.0,"[406, 407, 408, 409]",5
"b'International Business Times, India Edition'",0.0,"[410, 411]",3
b'The Shillong Times',0.0,[412],2
b'Ommcom News',0.0,"[413, 414, 415]",4
b'MorungExpress',0.0,"[416, 417]",3
b'Mangalorean.com',0.0,"[418, 419, 420]",4
b'Local News for British Asian and Indian Community in London',0.0,"[421, 422]",3
b'Forever NEWS',0.0,[423],2
b'Andhrawatch',0.0,[424],2
b'Weekly Voice',0.0,"[425, 426, 427]",4
b'News Room Odisha',0.0,"[428, 429, 431]",4
b'therahnuma.com',0.0,[430],2
b'punemirror.com',0.0,[432],2
b'Daily Mail Online',0.0,"[502, 503]",3
b'Financial Times News',0.0,"[504, 505]",3
b'Reuters',0.0,"[625, 626, 627, 628, 629]",6
